Direccion,Tienda,Latitud, Longitud
Carretera CA-9 Sur sector B local 8 Zona Sur Amatitlán Km. 27.5,Amatitlán,14.4829146,-90.62926285
"Puma Fraijanes Express local # 7, Carretera a El Salvador, Villa del Pinar 1, Fraijanes Km 19.4",Fraijanes,14.52060996,-90.47147488
Carretera a el Salvador Centro Comercial Gran Plaza Km 14.5,Gran plaza,14.56199724,-90.46347616
21 Avenida Calzada Roosevelt Centro Comercial Gran Vía local 31 Zona 7,Gran vía,14.62405368,-90.55267449
"Centro Comercial Interplaza Escuintla, km. 60 autopista Palín, Escuintla",Interplaza Escuintla,14.29594497,-90.79902783
"23 Calle y 14 Avenida Condado el Naranjo Centro Comercial Plaza Kalú, nivel 1, local 16 Zona 4, Mixco",Kalú,14.65093754,-90.53997109
Calzada Aguilar Batres 44-22 Centro Comercial Metrosur local 29 Zona 11,Metrosur,14.58165258,-90.5677405
21 Avenida 4-32 Centro Comercial Miraflores nivel 2 local FC-316 Zona 11,Miraflores I,14.6202046,-90.55399283
21 Avenida 4-32 Centro Comercial Miraflores nivel 2 local FC-12 Zona 11,Miraflores II,14.62239402,-90.55231971
"23 Calle 10-00 Condado Naranjo nivel 3 Zona 4, Mixco",Naranjo mall,14.65092101,-90.54212982
Diagonal 6 13-01 Centro Comercial Oakland Nivel 3 Zona 10,Oakland mall,14.59881245,-90.50718429
Diagonal 6 13-01 Centro Comercial Oakland Nivel 3 Zona 10,Oakland Place,14.60024625,-90.50715429
"Diagonal 19 25-50 Centro Comercial Peri Roosevelt nivel 2, local C-6 Zona 7",Peri roosevelt,14.62713426,-90.55661909
Ruta Norte al Atlántico 3-20 Centro Comercial Portales nivel 4 Zona 17,Portales,14.64810281,-90.48156915
"Carretera a El Salvador Santa Catarina Pinula, Centro Comercial Pradera Concepción nivel 3, local 354 Km15.5",Pradera concepción,14.55217108,-90.45349583
"Diagonal 19 36-01 Centro Comercial La Pradera Vistares, nivel 2 Local FC-10 Zona 12",Pradera vistares,14.58355255,-90.54460673
"0 Calle 1-01 Carretera al Pacífico Centro de Conveniencia Puma Ranchón Express Zona 6 Naranjito, Villa Nueva Km. 17.3",Ranchón,14.53318879,-90.59433342
"7ma Calle 1-17 Centro Comercial Las Puertas nivel 1 local M Zona 1, San Lucas Sacatepéquez",San lucas,14.60954431,-90.65832072
Boulevar Los Próceres 6ta Avenida entre 18 y 19 Calle Centro Comercial Unicentro nivel 3 Zona 10,Unicentro,14.59192355,-90.51237551
Calzada Roosevelt 34-15 Zona 11,Utatlán,14.62950435,-90.56403179
6ta Avenida y 10ma Calle esquina Zona 1,Zona 1,14.63899668,-90.5142617
Calzada Aguilar Batres 29 Calle 0-01 Zona 12,Zona 12,14.5963897,-90.55514917
2 Calle 19-70 Vista Hermosa 2 Zona 15,Zona 15,14.59040538,-90.49193239
7ma Avenida 3-17 Zona 4,Zona 4,14.62091371,-90.51514785
6ta Avenida 8-91 Zona 9,Zona 9,14.60554145,-90.51961098
